Sequence,Ciphertext_Entropy,IV_Length,IV_Entropy,Exec_Time,Secure
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.301,0,0.0,1.099,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.99,16,7.839,2.438,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.221,16,2.508,1.322,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.774,0,0.0,0.361,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.899,16,7.875,0.961,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.871,16,7.854,2.402,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.504,16,1.218,1.828,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.856,12,7.911,1.739,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.009,0,0.0,0.953,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.294,16,3.06,1.169,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.37,0,0.0,1.456,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.603,16,1.834,1.72,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.165,16,1.56,1.311,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.901,12,7.949,2.342,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.412,16,1.867,1.386,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.653,16,7.722,1.393,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.984,16,7.804,0.734,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.892,12,7.913,1.052,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.916,12,7.909,1.773,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.926,16,7.993,1.667,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.953,12,7.872,1.721,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.792,16,7.898,1.065,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.894,16,7.914,1.621,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.723,16,7.527,1.763,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.966,12,7.925,0.797,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.944,16,7.97,0.631,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.467,16,1.75,0.795,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.682,16,7.952,1.637,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.88,16,7.917,1.589,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.956,16,7.852,1.045,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.999,16,7.951,2.193,1
Cipher.getInstance -> Cipher.doFinal,6.165,16,7.05,0.348,0
Cipher.getInstance -> Cipher.doFinal,6.314,16,6.974,0.378,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.958,12,7.962,2.218,1
Cipher.getInstance -> Cipher.doFinal,5.964,16,0.228,0.219,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.379,16,3.216,0.99,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.304,0,0.0,0.899,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.886,16,7.935,0.745,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.424,0,0.0,0.769,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.756,0,0.0,0.549,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.729,16,7.975,1.238,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.506,16,1.585,1.538,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.51,16,2.436,1.211,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.664,16,7.798,1.292,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.432,0,0.0,1.023,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.976,16,7.952,1.065,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.939,16,7.814,1.844,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.936,16,7.912,2.351,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.968,16,7.925,0.587,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.993,12,7.98,1.743,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.938,12,7.985,1.795,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.522,0,0.0,1.291,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.933,16,7.932,0.808,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.951,12,7.967,0.992,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.902,12,7.993,1.471,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.945,0,0.0,0.3,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.611,16,7.511,0.993,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.619,0,0.0,0.995,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.87,12,7.864,1.527,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.995,16,7.803,0.75,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.925,12,7.91,0.979,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.926,12,7.864,1.071,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.862,12,7.955,1.89,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.979,16,7.829,2.351,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.405,16,1.394,1.741,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.93,12,7.956,2.331,1
Cipher.getInstance -> Cipher.doFinal,6.311,16,6.738,0.32,0
Cipher.getInstance -> Cipher.doFinal,7.59,16,0.383,0.403,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.295,16,1.46,1.384,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.659,0,0.0,0.877,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.878,12,7.981,1.835,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.964,16,7.992,1.767,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.965,12,7.91,2.368,1
Cipher.getInstance -> Cipher.doFinal,5.39,0,0.873,0.143,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.999,16,7.983,1.169,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.551,16,7.522,1.393,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.939,12,7.979,0.761,1
Cipher.getInstance -> Cipher.doFinal,5.366,16,4.867,0.485,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.854,12,7.884,1.234,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.582,16,7.919,1.519,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.85,16,7.959,0.987,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.793,16,7.749,1.717,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.864,16,7.982,2.238,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.192,0,0.0,1.209,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.599,0,0.0,1.048,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.954,16,7.881,0.753,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.927,16,7.851,2.453,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.902,16,7.979,2.259,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.996,12,7.837,0.917,1
Cipher.getInstance -> Cipher.doFinal,7.347,16,2.852,0.337,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.979,16,7.862,1.269,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.998,16,7.974,1.916,1
Cipher.getInstance -> Cipher.doFinal,5.716,16,5.277,0.152,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.973,12,7.846,2.383,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.636,16,7.851,1.676,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.957,12,7.898,0.751,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.876,16,7.961,1.52,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.861,12,7.992,1.259,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.926,12,7.916,2.228,1
Cipher.getInstance -> Cipher.doFinal,6.045,16,7.146,0.395,0
Cipher.getInstance -> Cipher.doFinal,5.209,16,5.476,0.235,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.929,12,7.927,2.067,1
Cipher.getInstance -> Cipher.doFinal,6.115,16,7.662,0.218,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.957,12,7.926,2.425,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.753,16,7.688,1.418,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.87,12,7.898,1.412,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.64,16,7.608,0.938,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.936,16,7.805,1.609,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.648,16,7.89,1.296,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.54,0,0.0,0.458,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.968,12,7.87,2.039,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.576,16,2.09,1.169,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.959,16,7.808,2.315,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.487,0,0.0,0.686,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.789,16,7.621,1.748,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.883,16,7.873,1.761,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.347,16,3.545,0.932,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.855,12,7.996,0.519,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.893,16,7.918,2.414,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.873,16,7.972,2.086,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.875,12,7.868,1.083,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.96,16,7.909,1.911,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.996,16,7.846,2.394,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.529,16,7.623,1.609,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.98,12,7.885,1.447,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.982,16,7.803,1.889,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.899,16,7.948,0.652,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.902,16,7.982,1.278,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.945,16,7.83,1.547,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.932,16,7.916,1.561,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.969,16,7.911,2.228,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.847,16,7.743,1.659,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.84,0,0.0,0.762,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.928,12,7.93,1.479,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.071,16,3.013,1.941,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.954,12,7.945,1.054,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.825,16,7.991,0.93,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.913,16,7.965,2.234,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.443,0,0.0,0.362,0
Cipher.getInstance -> Cipher.doFinal,7.505,0,7.108,0.388,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.948,16,7.907,1.181,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.987,16,7.915,1.856,1
Cipher.getInstance -> Cipher.doFinal,7.029,16,2.949,0.164,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.983,16,7.962,2.405,1
Cipher.getInstance -> Cipher.doFinal,6.799,0,0.833,0.164,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.867,16,7.82,2.135,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.991,16,7.876,0.971,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.893,16,7.997,1.863,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.908,16,7.961,0.75,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.86,12,7.945,1.426,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.416,0,0.0,0.743,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.904,16,7.915,1.598,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.077,16,4.364,0.772,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.868,16,7.992,0.89,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.935,16,7.901,1.86,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.362,16,1.349,0.824,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.202,16,2.881,0.522,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.97,12,7.849,2.271,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.888,12,7.83,2.482,1
Cipher.getInstance -> Cipher.doFinal,5.028,16,0.771,0.38,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.979,16,7.959,1.947,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.942,12,7.978,1.787,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.865,16,7.83,0.683,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.237,0,0.0,0.387,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.851,16,7.745,1.395,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.895,12,7.995,1.243,1
Cipher.getInstance -> Cipher.doFinal,5.219,0,5.901,0.415,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.298,0,0.0,0.775,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.897,16,7.967,1.563,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.269,0,0.0,1.405,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.875,12,7.888,2.359,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.999,12,7.995,0.962,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.876,12,7.939,1.678,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.871,12,7.98,2.467,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.733,16,7.531,1.071,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.65,16,7.658,1.351,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.529,16,2.374,1.912,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.98,16,7.857,1.394,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.944,12,7.895,1.505,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.865,12,7.92,2.131,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.975,16,7.944,1.657,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.906,16,7.842,2.111,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.602,0,0.0,0.587,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.23,0,0.0,0.657,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.879,16,7.831,1.724,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.558,16,2.637,1.085,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.917,12,7.843,1.959,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.87,16,7.887,1.408,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.912,16,7.873,1.921,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.925,0,0.0,1.165,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.756,0,0.0,0.494,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.243,16,4.313,0.79,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.174,0,0.0,1.186,0
